Device;Signal;FrequenceConfigMs;NbMesures;EcartReelMs;EcartPourcent;Probleme;DerniereMesureHeure
ATS - TR3;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR4;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR3;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR4;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR3;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR4;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR3;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR4;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR3;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR4;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR3;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR1;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR2;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATS - TR4;I_PH1_255;1000;309;666;33.400000000000;VARIABLE;10:43:32
ATR_TR1;I_PH2_255;2000;206;1000;50.000000000000;VARIABLE;10:43:32
